127.0.0.1, 2013-05-25 15:12:21, GET, /, HTTP/1.1, 303, 0.001846
127.0.0.1, 2013-05-25 15:12:22, GET, /welcome/default/index, HTTP/1.1, 200, 1.064977
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000956
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001817
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001232
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000716
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001877
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001613
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001324
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000635
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000520
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001156
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001551
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000776
127.0.0.1, 2013-05-25 15:12:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000469
127.0.0.1, 2013-05-25 15:12:35, GET, /, HTTP/1.1, 303, 0.000721
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.021474
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002181
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001286
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.005575
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001554
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001547
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001790
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002188
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001245
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002320
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001204
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000966
127.0.0.1, 2013-05-25 15:12:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000555
127.0.0.1, 2013-05-25 15:12:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000576
127.0.0.1, 2013-05-25 15:12:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001331
127.0.0.1, 2013-05-25 15:12:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000383
127.0.0.1, 2013-05-25 15:12:41, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000529
127.0.0.1, 2013-05-25 15:12:42, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2013-05-25 15:12:43, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.024983
127.0.0.1, 2013-05-25 15:12:47, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.023810
127.0.0.1, 2013-05-25 15:12:56, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.150884
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.022949
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000585
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001484
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003179
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002846
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002497
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002013
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001725
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000471
